0.474 0.203 0.677 17547 27546   
0.628 0.107 0.735 30075 6678  
0.000 1.000 1.000 30075 30075  
0.513 0.233 0.746 3778 16861908  
0.561 0.201 0.762 7878457 18842281   
0.518 0.240 0.758 7878457 14539  
0.255 0.322 0.577 46770 13673345   
0.384 0.247 0.631 30598 13673345  
0.589 0.161 0.750 30003 33094374  
0.327 0.350 0.677 29831 173088   
0.412 0.330 0.742 19641 173088    
0.408 0.277 0.685 9311172 424739  
0.491 0.128 0.619 36969 46183  
0.441 0.151 0.592 164491 23501  
0.500 0.200 0.700 23315 18403271  
0.437 0.225 0.662 20646803 188886  
0.363 0.318 0.681 155526 20646803  
0.133 0.329 0.462 519280 155526  
0.359 0.222 0.581 519280 19159221  
0.491 0.217 0.708 4918223 19372783  
0.618 0.190 0.808 19372783 3736784  
0.163 0.325 0.162 19372783 30003  
0.375 0.506 0.131 19372783 6429   
0.342 0.434 0.092 19372783 147676   
0.216 0.397 0.181 19372783 19196010   
0.467 0.202 0.669 257215 484939  
0.289 0.381 0.092 19372783 18393  
0.530 0.216 0.746 3778 17727  
0.582 0.230 0.812 19360669 8983183  
0.527 0.246 0.773 33550 11090  
0.733 0.182 0.915 8983183 55336  
0.454 0.485 0.031 20646803 164491  
0.347 0.370 0.023 19012 55115  
0.704 0.154 0.858 19012 887147   
0.580 0.012 0.592 47485 47615    
0.374 0.295 0.669 4092 51273  
0.670 0.176 0.846 16043 9282173  
0.572 0.193 0.765 16043 23267   
0.134 0.296 0.162 12178732 27546   
0.791 0.153 0.944 5575722 27546   
0.553 0.309 0.862 8485 10568    
0.097 1.000 0.903 10568 10568    
0.524 0.157 0.681 18951490 3921   
0.359 0.304 0.663 10568 29773   
0.508 0.248 0.756 29773 52664    
0.416 0.257 0.673 34289 24702   
0.522 0.243 0.765 34289 30636   
0.250 0.000 0.250 34289 1499535   01.
0.643 0.195 0.838 18949668 17541  
0.418 0.320 0.738 21555729 5796  
0.213 0.406 0.619 21555729 232176  
0.382 0.291 0.673 21555729 11065202   
0.491 0.301 0.792 21555729 77819   
0.569 0.243 0.812 22939 23317  
0.624 0.111 0.735 22939 5180  
0.181 0.307 0.488 27667 5180  
0.265 0.289 0.554 1014 5180  
0.789 0.057 0.846 32787 12988  
0.737 0.076 0.813 32787 45189  
0.091 0.395 0.304 18948043 13673345   
0.183 0.314 0.131 7984 768413  
0.285 0.311 0.596 7984 9293603  
0.522 0.165 0.687 66254 212818  
0.600 0.185 0.785 73165 83430  
0.056 0.321 0.265 7984 83430  
0.106 1.000 0.894 13673345 13673345  
0.104 1.000 0.896 12806 12806  
0.686 0.243 0.929 155747 2173925  
0.795 0.115 0.910 5236 480527  
0.098 1.000 0.902 7689495 7689495    
0.071 1.000 0.929 209005 209005  
0.698 0.181 0.879 238150 556358  
0.593 0.159 0.752 10646 10843  
0.383 0.327 0.710 3410 26574  
0.484 0.254 0.738 3410 198041   
0.354 1.000 0.646 30677 30677  
0.373 1.000 0.627 419369 419369  
0.029 0.240 0.269 318378 30677   
0.280 0.305 0.585 155747 13673345  
0.223 0.277 0.500 419369 22589  
0.133 0.341 0.208 63752 66986  
0.121 0.321 0.442 10646 26574  
0.211 0.227 0.438 5236 1408983  
0.218 0.403 0.185 11090 63752  
0.007 0.301 0.308 480527 66986  
0.222 0.314 0.092 419369 27992  
0.000 0.315 0.315 5236 11090  
0.183 0.237 0.054 297947 187557   
0.174 0.382 0.208 12581 25152964   
0.191 0.245 0.054 209005 1810027  
0.166 0.228 0.062 26574 2173925  
0.605 0.237 0.842 8983183 8100  
0.762 0.142 0.904 8983183 5665  
0.659 0.168 0.827 8983183 192617  
0.542 0.215 0.757 8983183 23626  
0.486 0.243 0.729 8983183 24189   
0.620 0.230 0.850 8983183 19360669  
0.603 0.170 0.773 8983183 30873450   
0.300 0.265 0.565 8983183 19390   
