0.589 0.088 0.677 17547 27546   
0.725 0.010 0.735 30075 6678  
0.000 1.000 1.000 30075 30075  
0.624 0.122 0.746 3778 16861908  
0.676 0.086 0.762 7878457 18842281   
0.628 0.130 0.758 7878457 14539  
0.354 0.223 0.577 46770 13673345   
0.493 0.138 0.631 30598 13673345  
0.704 0.046 0.750 30003 33094374  
0.422 0.255 0.677 29831 173088   
0.509 0.233 0.742 19641 173088    
0.513 0.172 0.685 9311172 424739  
0.599 0.020 0.619 36969 46183  
0.555 0.037 0.592 164491 23501  
0.615 0.085 0.700 23315 18403271  
0.549 0.113 0.662 20646803 188886  
0.462 0.219 0.681 155526 20646803  
0.231 0.231 0.462 519280 155526  
0.472 0.109 0.581 519280 19159221  
0.604 0.104 0.708 4918223 19372783  
0.734 0.074 0.808 19372783 3736784  
0.065 0.227 0.162 19372783 30003  
0.277 0.408 0.131 19372783 6429   
0.249 0.341 0.092 19372783 147676   
0.123 0.304 0.181 19372783 19196010   
0.582 0.087 0.669 257215 484939  
0.195 0.287 0.092 19372783 18393  
0.644 0.102 0.746 3778 17727  
0.693 0.119 0.812 19360669 8983183  
0.636 0.137 0.773 33550 11090  
0.849 0.066 0.915 8983183 55336  
0.358 0.389 0.031 20646803 164491  
0.253 0.276 0.023 19012 55115  
0.818 0.040 0.858 19012 887147   
0.592 0.000 0.592 47485 47615    
0.476 0.193 0.669 4092 51273  
0.786 0.060 0.846 16043 9282173  
0.688 0.077 0.765 16043 23267   
0.032 0.194 0.162 12178732 27546   
0.905 0.039 0.944 5575722 27546   
0.653 0.209 0.862 8485 10568    
0.097 1.000 0.903 10568 10568    
0.638 0.043 0.681 18951490 3921   
0.460 0.203 0.663 10568 29773   
0.617 0.139 0.756 29773 52664    
0.523 0.150 0.673 34289 24702   
0.632 0.133 0.765 34289 30636   
0.250 0.000 0.250 34289 1499535   01.
0.759 0.079 0.838 18949668 17541  
0.516 0.222 0.738 21555729 5796  
0.306 0.313 0.619 21555729 232176  
0.485 0.188 0.673 21555729 11065202   
0.592 0.200 0.792 21555729 77819   
0.679 0.133 0.812 22939 23317  
0.724 0.011 0.735 22939 5180  
0.281 0.207 0.488 27667 5180  
0.367 0.187 0.554 1014 5180  
0.846 0.000 0.846 32787 12988  
0.812 0.001 0.813 32787 45189  
0.001 0.303 0.304 18948043 13673345   
0.084 0.215 0.131 7984 768413  
0.385 0.211 0.596 7984 9293603  
0.637 0.050 0.687 66254 212818  
0.716 0.069 0.785 73165 83430  
0.042 0.223 0.265 7984 83430  
0.106 1.000 0.894 13673345 13673345  
0.104 1.000 0.896 12806 12806  
0.796 0.133 0.929 155747 2173925  
0.897 0.013 0.910 5236 480527  
0.098 1.000 0.902 7689495 7689495    
0.071 1.000 0.929 209005 209005  
0.814 0.065 0.879 238150 556358  
0.708 0.044 0.752 10646 10843  
0.481 0.229 0.710 3410 26574  
0.592 0.146 0.738 3410 198041   
0.354 1.000 0.646 30677 30677  
0.373 1.000 0.627 419369 419369  
0.139 0.130 0.269 318378 30677   
0.380 0.205 0.585 155747 13673345  
0.328 0.172 0.500 419369 22589  
0.037 0.245 0.208 63752 66986  
0.220 0.222 0.442 10646 26574  
